Title,Price,Traveltime
Bella Vista Queenstown Queenstown,149,8401
Queenstown Lakeview Holiday Park Queenstown,155,8535
Hurley's of Queenstown Queenstown,167,10786
Copthorne Hotel & Apartments Queenstown Lakeview Queenstown,155,10824
Millennium Hotel Queenstown Queenstown,205,10920
Sherwood Queenstown,140,22961
Ramada Queenstown Queenstown,149,23332
